<<<<<<< HEAD
²£«~¥N¸¹,¼tµP,«~¦W,¸Ô²Ó,³æ»ù,Åé¿n,­«¶q,ºØÃş½s¸¹,ºØÃş
12-24,²±­»¬Ã,§ö¤¯ªG,160g/¥],99,1249.5,160,L1,¹s­¹
12-25,²±­»¬Ã,§ö¤¯¤p³½,125g/¥],99,1249.5,125,L1,¹s­¹
12-26,²±­»¬Ã,¶}¤ßªG,150g/¥],92,882,150,L1,¹s­¹
12-27,¸q¬ü,­»»[«C¨§,178g/¥],42,1564,178,L1,¹s­¹
12-28,¸q¬ü,ªã¥½½Ü¨§,151¤½§J/¥],40,1564,151,L1,¹s­¹
12-29,¸q¬ü,ÄĞ¶p¸J¨§,151g/¥],40,1564,151,L1,¹s­¹
12-30,¸q¬ü,­ì¨ıºî¦XÅÖªG,155g/¥],129,682.5,155,L1,¹s­¹
12-31,¸q¬ü,¤p³½Äåªá½¼ºî¦XªG,104g/¥],80,682.5,104,L1,¹s­¹
12-32,¸q¬ü,¸yªG§ö¤¯,114g/¥],80,682.5,114,L1,¹s­¹
12-33,¸q¬ü,®Ö®ç§ö¤¯,114g/¥],83,682.5,114,L1,¹s­¹
12-34,¸q¬ü,¤p³½§ö¤¯,104g/¥],80,682.5,104,L1,¹s­¹
12-35,¸q¬ü,­»¯Ü§ö¤¯,132g/¥],80,682.5,132,L1,¹s­¹
12-36,¸q¬ü,»e¥Ä¸yªG,108g/¥],80,682.5,108,L1,¹s­¹
12-37,¸q¬ü,­ì¨ıºî¦X°íªG,145g/¥],129,780,145,L1,¹s­¹
12-38,¹Å¥İ,¤jÅú¨§,450g/¥],69,1748,450,L1,¹s­¹
12-39,¹Å¥İ,¯À­¹Åú¨§,450g/¥],65,1748,450,L1,¹s­¹
12-40,¸U·³µP,?«n´Çµ[¬Ä®Ö®ç?,140g/¥],98,682.5,140,L1,¹s­¹
12-41,¸U·³µP,Äåªá½¼ºî¦XªG,165g/²°,139,682.5,165,L1,¹s­¹
12-42,¸U·³µP,»e¥Ä¸yªG,180g/¥],98,682.5,180,L1,¹s­¹
12-43,¸U·³µP,­»¶p¸yªG,180g/¥],98,682.5,180,L1,¹s­¹
12-44,¸U·³µP,ºî¦XÅÖªG,180g/¥],89,682.5,180,L1,¹s­¹
12-45,¸U·³µP,³Â»¶ÂùªG,160g/¥],100,682.5,160,L1,¹s­¹
12-46,¸U·³µP,ºî¦X§ö¤¯±ø,225g/²°,150,1972,225,L1,¹s­¹
12-47,¸U·³µP,Äåªá½¼ºî¦XªG,140¤½§J/¥],100,682.5,140,L1,¹s­¹
12-48,¸U·³µP,©M­·©@­ùºdªG,120¤½§J/¥],100,682.5,120,L1,¹s­¹
12-49,¸U·³µP,³Â»¶¸yªG,160g/¥],105,682.5,160,L1,¹s­¹
12-50,¸U·³µP,¥i¥iºdªG,120g/¥],100,682.5,120,L1,¹s­¹
12-51,¸U·³µP,§ö¤¯ªG,180g/¥],100,682.5,180,L1,¹s­¹
12-52,¸U·³µP,ªã¥½§ö¤¯ªG,180g/¥],100,682.5,180,L1,¹s­¹
12-53,¸U·³µP,·¬¿}¸yªG,180g/¥],105,682.5,180,L1,¹s­¹
12-54,¸U·³µP,Á¡ÆQ¯MµH®Ö®ç,130g/¥],98,682.5,130,L1,¹s­¹
12-55,¸U·³µP,½¯²ùÅÖªG,160g/¥],100,685.125,160,L1,¹s­¹
12-56,¸U·³µP,µL½Õ¨ı§ö¤¯ªG,200g/¥],145,685.125,200,L1,¹s­¹
12-57,¸U·³µP,µL½Õ¨ı¸yªG,180g/¥],145,685.125,180,L1,¹s­¹
12-58,¸U·³µP,µL½Õ¨ı®Ö®ç§ö¤¯,180¤½§J/¥],145,685.125,180,L1,¹s­¹
12-59,¸U·³µP,µL½Õ¨ıºî¦XªG,180g/¥],145,685.125,180,L1,¹s­¹
12-60,Lay's¼Ö¨Æ,¼Ö¦h²Õ¦X¥]5¥]/³U,237g,79,6300,237,L2,¹s­¹
12-61,Lay's¼Ö¨Æ,¨É¼Ö¥]6¥]/³U,189g,45,6300,189,L2,¹s­¹
12-62,Lay's¼Ö¨Æ,ªi¼Ö«p¤ù²Õ¦X¥],43g*4¥]/³U,58,4680,172,L2,¹s­¹
12-63,Lay's¼Ö¨Æ,¼Ö¨Æ²Õ¦X¥],43g*4¥]/²Õ,56,4680,172,L2,¹s­¹
12-64,¦h¤O¦h´ş,ºî¦X²Õ¦X¥],54g*4¥]/²Õ,55,4680,216,L2,¹s­¹
12-65,¦Ê¨Æ,©_¦hºî¦X²Õ¦X¥],240¤½§J/¥],59,4680,240,L2,¹s­¹
12-66,¨Ä¨Ä,­»¿@¥©§J¤O²Õ¦X¥],52g*4¤J / ¥],52,4680,208,L2,¹s­¹
12-67,¨Ä¨Ä,¯ó²ù·Ò¨Å,52g*4¥]/²Õ,62,4680,208,L2,¹s­¹
12-68,¨Ä¨Ä,¥|¤JÅs¥J¥],208g/³U,62,4680,208,L2,¹s­¹
12-69,¨Ä¨Ä,¥¤ªo·¦¤l,52g*4¥]/²Õ,60,4680,208,L2,¹s­¹
12-70,¨Ä¨Ä,·Ò¨Å¥É¦Ì¯ÜªG,52g*4¥]/²Õ,59,4680,208,L2,¹s­¹
12-71,©ô©ô,®ö¨ı¥P¤À¨É¥],42g*4¥]/³U,59,4680,168,L2,¹s­¹
12-72,©ô©ô,¿N¦Ì«Î,350g/¥],99,6887.5,350,L2,¹s­¹
12-73,©ô©ô,ªi¨©¥P¸gÀÙ¥],350¤½§J/¥],85,6887.5,350,L2,¹s­¹
12-74,©ô©ô,·çªá¥P¨©¸gÀÙ¥],350g/¥],95,5800,350,L2,¹s­¹
12-75,©ô©ô,¥P¨©©¥¶ï¸gÀÙ¥],350g/¥],90,5800,350,L2,¹s­¹
12-76,©ô©ô,µL²á¬£¤j¥P¨©¶p,155g/¥],45,2400,155,L2,¹s­¹
12-77,©ô©ô,¥P¨©,112g/¥],39,1400,112,L2,¹s­¹
12-78,©ô©ô,³·»æ,145g/¥],39,2070,145,L2,¹s­¹
12-79,©ô©ô,¬õÄTª«»y¸gÀÙ¥],240g/¥],109,5800,240,L2,¹s­¹
12-80,©ô©ô,«p¿NÆQ¨ı,160g/¥],45,1976,160,L2,¹s­¹
12-81,©ô©ô,«p¿N®ü­a,160g/¥],45,1976,160,L2,¹s­¹
12-82,©ô©ô,³·¿N,170g/¥],39,2125,170,L2,¹s­¹
12-83,©ô©ô,¦Ì°_¥q,2ªT*18¤J,36,1748,240,L2,¹s­¹
12-84,µØ¤¸,ªi¯S¦h¬v¨¡¤ù,46g*4¥]/³U,75,6300,184,L2,¹s­¹
12-85,µØ¤¸,¯u¾{¨ıÅw¼Ö¥]-¬õ¿N,144G/³U,54,6300,114,L2,¹s­¹
12-86,¸Îºa,½¼¨ı¥ı®a±Ú²Õ¦X¥],4¥],52,4680,190,L2,¹s­¹
12-87,¸Îºa,½¼¨ı¥ıºî¦X¥],60¤½§J*4¤J/²Õ,54,4680,240,L2,¹s­¹
12-88,ÁpµØ,¥i¼ÖªG¶q³c¥],57g*4¥]/³U,59,6300,228,L2,¹s­¹
12-89,ÁpµØ,¥d­}¨º¼w¦{Á¦±ø¶q³c¥],42g*4¥]/³U,65,6300,168,L2,¹s­¹
12-90,ÁpµØ,¥d­}¨º¤û±Æ¶q³c¥],180¤½§J/¥],69,6300,180,L2,¹s­¹
12-91,ÁpµØ,¥i¼ÖªG¥j¦­¨ı¶q³c¥],57g*4¥]/³U,62,6300,228,L2,¹s­¹
12-92,ÁpµØ,¥i¼ÖªG¶q³c¥]-»¶¨ı,57g*4¥]/³U,58,6300,228,L2,¹s­¹
12-93,HAITAI,®ü¤ÓÄ¬¥´»æ,162g/²°,42,1518,162,L3,¹s­¹
12-94,HAITAI,®ü¤Ó½­µæÀç¾i»æ°®,194g/²°,49,1518,194,L3,¹s­¹
12-95,HAITAI,®ü¤Ó¥[¶tÀç¾i»æ,197g/²°,49,1518,197,L3,¹s­¹
12-96,HAITAI,®ü¤Ó¥[¶t°_¤h»æ,172g/²°,49,1518,172,L3,¹s­¹
12-97,HAITAI,®ü¤Ó¥[¶t§ö¤¯»æ,133g,49,1518,133,L3,¹s­¹
12-98,HAITAI,®ü¤Ó®ü­a¥[¶tÀç¾i»æ,197g/²°,49,1518,197,L3,¹s­¹
12-99,HAITAI,®ü¤Óªª³õÂA¨Å»æ,162g/²°,49,1518,162,L3,¹s­¹
12-100,¤¤¥ß,Ä¬¥´»æ,175g/¥],33,918,175,L3,¹s­¹
12-101,¤¤¥ß,´ÔÆQ»æ°®,175g/¥],33,918,175,L3,¹s­¹
12-102,¤¤²»,³ÁÁJÄ¬¥´,160g/¥],23,880,160,L3,¹s­¹
12-103,¤¤²»,¦ÛµM?ÆQ,120g/¥],36,1440,120,L3,¹s­¹
12-104,¤é¬°,¤ÑµM?·½,160g/¥],28,1323,160,L3,¹s­¹
12-105,¥xÆQ,®üÆQÄ¬¥´»æ°®,168¤½§J/²°,55,1938.75,168,L3,¹s­¹
12-106,¥xÆQ,¶Â­J´ÔÄ¬¥´»æ°®,168¤½§J/²°,55,1938.75,168,L3,¹s­¹
12-107,©_¤ñ¼Ö,°_¤h»æ,320g/¥],65,1518,320,L3,¹s­¹
12-108,±Å¤ô°a,°ªÅÖÄ¬¥´»æ,150g/²°,39,864,150,L3,¹s­¹
12-109,³ß¦~¨Ó,¤û¥¤Àç¾i»æ,180g/²°,55,2062.5,180,L3,¹s­¹
12-110,³ß¦~¨Ó,·¦¥¤Àç¾i»æ,180g/²°,55,2062.5,180,L3,¹s­¹
12-111,³ß¦~¨Ó,¥ÌÂÅÄ¬¥´»æ°®¶W­È¥],207g/²°,59,1940.625,207,L3,¹s­¹
12-112,³ß¦~¨Ó,¨È³Â¤¯ëL³ÁÄ¬¥´»æ°®¶W­È¥],207g/²°,59,1940.625,207,L3,¹s­¹
12-113,¸q¬ü,¬ü¨ıµµµæÄ¬¥´»æ°®,192g/²°,47,885.5,192,L3,¹s­¹
12-114,¸q¬ü,°·±d¨ú¦VÄ¬¥´»æ°®,205g/²°,34,1358.5,205,L3,¹s­¹
12-115,¸q¬ü,¤ÑµM¨ú¦VÄ¬¥´»æ°®-µµµæ,140g/²°,28,1323,140,L3,¹s­¹
12-116,¸q¬ü,¤ÑµM¨ú¦VÄ¬¥´»æ°®-ÂA½µ,140g/²°,28,1323,140,L3,¹s­¹
12-117,¸q¬ü,ªÛ³Â¿P³Á¦h½\ª«Ä¬¥´»æ°®,135g/²°,33,900,135,L3,¹s­¹
12-118,¸q¬ü,½\ª«Ä¬¥´»æ,270/²°,69,2762.5,270,L3,¹s­¹
12-119,ÀuÀs,ACE¤p³Á­FªŞ»æ,200g/²°,55,1391.5,200,L3,¹s­¹
12-120,ÀuÀs,°g§AÄ¬¥´»æ°®,128g/²°,55,1391.5,128,L3,¹s­¹
12-121,ÀuÀs,ACE¦ËÆQÄ¬¥´»æ°®,149g,50,1391.5,149,L3,¹s­¹
12-122,Lay's¼Ö¨Æ,¼Ö¨Æªi¼Ö¤E¦{©¥¿N®ü­a¬v¨¡¤ù,97g/¥],35,2625,97,L4,¹s­¹
12-123,Lay's¼Ö¨Æ,®õ°ê¬½»¶­»ª£ÃÉ¬v¨¡¤ù,97g/¥],35,2625,97,L4,¹s­¹
12-124,Lay's¼Ö¨Æ,¿D¬w»¨±¡¸Á»eBBQ¬v¨¡¤ù,97g/¥],35,2625,97,L4,¹s­¹
12-125,Lay's¼Ö¨Æ,ªi¼Ö¦L«×¯«¯µ¨¯­»¯NÂû¬v¨¡¤ù,97g/¥],35,2625,97,L4,¹s­¹
12-126,Lay's¼Ö¨Æ,ªi¼Ö­»¶pÂû»L¬v¨¡¤ù,97g/¥],35,2625,97,L4,¹s­¹
12-127,Lay's¼Ö¨Æ,ªi¼Ö®üÂAÁ`¶×¬v¨¡¤ù,97g/¥],35,2625,97,L4,¹s­¹
12-128,Lay's¼Ö¨Æ,¤õÃz­»»¶¬v¨¡¤ù,97g/¥],35,2625,97,L4,¹s­¹
12-129,Lay's¼Ö¨Æ,ªi¼Ö­»¯N¦Ø±Æ¬v¨¡¤ù,97g/¥],35,2625,97,L4,¹s­¹
12-130,Lay's¼Ö¨Æ,·ç¤h­»¿@°_¥q,97g/¥],35,2625,97,L4,¹s­¹
12-131,Lay's¼Ö¨Æ,¬ü°ê¸g¨å­ì¨ı,97g/¥],35,2625,97,L4,¹s­¹
12-132,Lay's¼Ö¨Æ,¤E¦{©¥¿N®ü­a,97g/¥],35,2625,97,L4,¹s­¹
12-133,Lay's¼Ö¨Æ,®õ°ê¬½»¶­»ª£ÃÉ¬£¹ï¤À¨É¥],150g/¥],55,2625,150,L4,¹s­¹
12-134,Lay's¼Ö¨Æ,ªi¼Ö­»¯N¦Ø±Æ¬£¹ï¤À¨É¥],150g/¥],55,2625,150,L4,¹s­¹
12-135,Lay's¼Ö¨Æ,·ç¤h­»¿@°_¥q,43g/¥],18,2625,43,L4,¹s­¹
12-136,Lay's¼Ö¨Æ,¤E¦{©¥¿N®ü­a,43g/¥],18,2625,43,L4,¹s­¹
12-137,Lay's¼Ö¨Æ,¬ü°ê¸g¨å­ì¨ı¬£¹ï¤À¨É¥],150g/¥],55,2625,150,L4,¹s­¹
12-138,Lay's¼Ö¨Æ,¤E¦{©¥¿N®ü­a¬£¹ï¤À¨É¥],150g/¥],55,2625,150,L4,¹s­¹
12-139,Lay's¼Ö¨Æ,®õ¦¡»Ä»¶´ö¬v¨¡¤ù,97g/¥],39,2625,97,L4,¹s­¹
12-140,´ò¦À«Î,¥d»¶©i¤[V·P«p¤Á ¬£¹ï¤À¨É¥],160g/¥],55,4104,160,L4,¹s­¹
12-141,´ò¦À«Î,¥d»¶©i¤[-¥d»¶®ü­a¬v¨¡¤ù,82g/¥],33,4104,82,L4,¹s­¹
12-142,´ò¦À«Î,¥d»¶©i¤[¬v¨¡¤ù,82g/¥],39,4104,82,L4,¹s­¹
12-143,´ò¦À«Î,¥d»¶©i¤[¬£¹ï¤À¨É¥],160g/¥],59,4104,160,L4,¹s­¹
12-144,µØ¤¸,ªiªº¦h¶W«p¤Á¬v¨¡¤ù-³H¥J·Î¨ı,82g/¥],28,4104,82,L4,¹s­¹
12-145,µØ¤¸,¥d»¶©i¤[Á`¶×©ÜÂÄ«p¤Á¬v¨¡¤ù,78g/¥],33,2625,78,L4,¹s­¹
12-146,µØ¤¸,ªiªº¦h¬v¨¡¤ù-¶Â­J´Ô¤û±Æ,82g/¥],33,2625,82,L4,¹s­¹
12-147,µØ¤¸,ªiªº¦h¬v¨¡¤ù-¬Ó®a¥¤ªo,82g/¥],33,2625,82,L4,¹s­¹
12-148,µØ¤¸,ªiªº¦h«p¤Á¬v¨¡¤ù-³H¥J·Î»¶¨ı,82g/¥],34,2625,82,L4,¹s­¹
12-149,µØ¤¸,ªiªº¦hÅw¼Ö¬£¹ï¥]-³H¥J·Î»¶¨ı,180g/¥],59,2625,180,L4,¹s­¹
12-150,µØ¤¸,¯u¾{¨ı¬õ¿N,105g/¥],33,2625,105,L4,¹s­¹
12-151,µØ¤¸,ªiªº¦hÅw¼Ö¬£¹ï¥]-¶Â­J´Ô¤û±Æ,195g/¥],55,2625,195,L4,¹s­¹
12-152,µØ¤¸,ªiªº¦hÅw¼Ö¬£¹ï¥]-³H¥J·Î¤f¨ı,180g/¥],49,2625,180,L4,¹s­¹
12-153,µØ¤¸,ªiªº¦h¬v¨¡¤ù-³H¥J·Î,82g/¥],30,2625,82,L4,¹s­¹
12-154,ÁpµØ,¥d­}¨º«p¤Á­»»¶,110g/¥],39,2625,110,L4,¹s­¹
12-155,ÁpµØ,¥d­}¨ºÆQ¨ı,110g/¥],39,2625,110,L4,¹s­¹
12-156,ÁpµØ,¥d­}¨º¥xÆW­»¨¡¯Ü¤ù,80g/¥],39,2625,80,L4,¹s­¹
12-157,ÁpµØ,¥d­}¨º¼w¦{Á¦±ø­X¥Ä,100g/¥],39,2625,100,L4,¹s­¹
12-158,ÁpµØ,¥d­}¨º«p¤Á¤û±Æ,110g/¥],39,2625,110,L4,¹s­¹
12-159,Pringles,«~«È¬v¨¡¤ù-­ì¨ı,134¤½§J/Åø,49,1376,134,L4,¹s­¹
12-160,Pringles,«~«È¬v¨¡¤ù-¬v½µ¨ı,134¤½§J/Åø,49,1376,134,L4,¹s­¹
12-161,Pringles,«~«È¬v¨¡¤ù-­»»¶¤f¨ı,134¤½§J/Åø,53,1376,134,L4,¹s­¹
12-162,Pringles,«~«È¬v¨¡¤ù-­»¿@°_¥q¤f¨ı,134¤½§J/Åø,49,1376,134,L4,¹s­¹
12-163,Jacker,³Ç¥i¬v¨¡¤ù-½­µæ,160g/Åø,49,1376,160,L4,¹s­¹
12-164,Jacker,³Ç¥i¬v¨¡¤ù-¿»­X,160g/Åø,49,1376,160,L4,¹s­¹
12-165,Jacker,³Ç¥i¬v¨¡¤ù-°_¥q¨ı,160g/Åø,49,1376,160,L4,¹s­¹
12-166,Jacker,³Ç¥i¬v¨¡¤ù-»Ä¥¤¬v½µ¨ı,160g/Åø,49,1376,160,L4,¹s­¹
12-167,Jacker,³Ç¥i¬v¨¡¤ù-¿N¯N¨ı,160¤½§J/Åø,49,1376,160,L4,¹s­¹
12-168,Jacker,³Ç¥i¬v¨¡¤ù-­»»¶¨ı,160¤½§J/Åø,49,1376,160,L4,¹s­¹
12-169,Jacker,³Ç¥i¬v¨¡¤ù-­ì¨ı,160¤½§J/Åø,49,1376,160,L4,¹s­¹
12-170,Pringles,«~«È¬v¨¡¤ù-¤ñÂÄ¤f¨ı,134¤½§J/Åø,55,1376,134,L4,¹s­¹
12-171,Pringles,«~«È¬v¨¡¤ù-ºÒ¯NBBQ¤f¨ı,134¤½§J/,55,1376,134,L4,¹s­¹
12-172,Lay's¼Ö¨Æ,®a®x¸¹Áú¦¡­»»¶¬v¨¡¤ù,260g/²°,79,2310,260,L4,¹s­¹
12-173,Lay's¼Ö¨Æ,®a®x¸¹­ì¨ı¬v¨¡¤ù,260g/²°,79,2310,260,L4,¹s­¹
12-174,Lay's¼Ö¨Æ,®a®x¸¹Âû¥Ä¬v¨¡¤ù,260g/²°,79,2310,260,L4,¹s­¹
12-175,Lay's¼Ö¨Æ,®a®x¸¹¥¤ÖK­»½µ¬v¨¡,260g/²°,79,2310,260,L4,¹s­¹
12-176,Lay's¼Ö¨Æ,®a®x¸¹Ãz¿@°_¥q¬v¨¡¤ù,260g/²°,79,2625,260,L4,¹s­¹
12-177,Crown,¥©§J¤O¬£,180g/²°,42,1328.25,180,L5,¹s­¹
12-178,LOTTE,¼Ö¤Ñ³J¶À¬£,23g*6¥]/²°,59,1394.25,138,L5,¹s­¹
12-179,LOTTE,¼Ö¤Ñ¥©§J¤O¬£,336g/¥],72,750,336,L5,¹s­¹
12-180,LOTTE,¼Ö¤Ñ¥©§J¤O¬£,28g*6¥]/²°,43,1394.96,168,L5,¹s­¹
12-181,Market O,¥¬®Ô¥§³J¿|-­»¯ó¤f¨ı,80g/²°,79,735,80,L5,¹s­¹
12-182,Market O,¥¬®Ô¥§³J¿|,80g/²°,79,735,80,L5,¹s­¹
12-183,¥i¤f,·¬¿}¬£¶q³c¥],116g/²°,55,956.25,116,L5,¹s­¹
12-184,¥i¤f,¤d¼h¬£¶q³c¥],114g/²°,65,956.25,114,L5,¹s­¹
12-185,¥i¤f,¸²µå¬£¶q³c¥],124g/²°,65,956.25,124,L5,¹s­¹
12-186,§»¨È,77¦³À`'sÂùÀ`-¶Â¥©§J¤O­»¯ó,220¤½§J/²°,67,2646.875,220,L5,¹s­¹
12-187,§»¨È,77·s¶Q¬£´£©Ô¦ÌÄ¬22¤J,206g/²°,59,2640,106,L5,¹s­¹
12-188,§»¨È,77·s¶Q¬£¨Å»Ä 18¤J,234g/²°,59,2280,234,L5,¹s­¹
12-189,§»¨È,77·s¶Q¬£¥©§J¤OÂÅ²ù,234g/²°,59,2280,234,L5,¹s­¹
12-190,§»¨È,77·s¶Q¬£¥©§J¤Oºñ¯ù18¶ô,225g/²°,59,2280,225,L5,¹s­¹
12-191,§»¨È,77·s¶Q¬£¥©§J¤O¯ó²ù18¶ô,234g/²°,59,2280,234,L5,¹s­¹
12-192,§»¨È,77¦³À`'sÂùÀ`«Â¤Æ,210g/²°,69,2646.875,210,L5,¹s­¹
12-193,§»¨È,77·s¶Q¬£ªá¥Í,144g/¥],39,1100,114,L5,¹s­¹
12-194,§»¨È,77·s¶Q¬£¥©§J¤Oªá¥Í18¶ô,288g/²°,59,2280,288,L5,¹s­¹
12-195,§»¨È,»eÄõ¿Õ·¬¿}¸²µå,138¤½§J/²°,59,2520,138,L5,¹s­¹
12-196,§»¨È,»eÄõ¿Õ¾J¶Â¤d¼h,156¤½§J/²°,59,2520,156,L5,¹s­¹
12-197,§»¨È,77»eÄõ¿Õ-ÃP¶ğ,192g/²°,59,2152.5,192,L5,¹s­¹
12-198,§»¨È,77»eÄõ¿Õ-§ö¤¯¤d¼h,144g/²°,59,2520,144,L5,¹s­¹
12-199,§»¨È,77 »eÄõ¿Õ,128¤½§J/¥],42,1440,128,L5,¹s­¹
12-200,¨Ä¨Ä,§¨¤ß³J¿|-Âû³J¤û¥¤,180g/²°,72,3064.75,180,L5,¹s­¹
12-201,¶ø§Q¶ø,¥©¤ß³J¿|,160g/²°,72,858,160,L5,¹s­¹
12-202,¶ø§Q¶ø,¥©¤ß³J¿|,149g/²°,72,1462.5,149,L5,¹s­¹
12-203,·sªF¶§,»ñ±ù¶p,200g/²°,49,968.625,200,L5,¹s­¹
12-204,¸q¬ü,»ñ±ù¶p12¤J,168g/²°,49,968.625,168,L5,¹s­¹
12-205,¸q¬ü,¥©§J¤O¤pªwªÜ,171g/²°,66,3082.75,171,L5,¹s­¹
12-206,¸q¬ü,©@°Ø¤pªwªÜ,171g/²°,73,3082.75,171,L5,¹s­¹
12-207,¸q¬ü,ÂfÂc¤pªwªÜ,171g/²°,70,3082.75,171,L5,¹s­¹
12-208,¸q¬ü,Âû³J¥¬¤B¤pªwªÜ,171g/²°,70,3082.75,171,L5,¹s­¹
12-209,¸q¬ü,­»¯ó¥©§J¤O¤pªwªÜ,171g/²°,70,3082.75,171,L5,¹s­¹
12-210,¸q¬ü,¯ó²ù¤pªwªÜ,171g/²°,70,3082.75,171,L5,¹s­¹
12-211,¸q¬ü,¤û¥¤¤pªwªÜ,171g/²°,70,3082.75,171,L5,¹s­¹
12-212,²±­»¬Ã,¸g¨å©@°ØÁ¡¶p,180g/²°,59,2205,180,L5,¹s­¹
12-213,¸q¬ü,¯ó²ùªkÄõ¶p,90g/²°,53,2265.25,90,L5,¹s­¹
12-214,¸q¬ü,¤û¥¤ªkÄõ¶p,90g/²°,53,2265.25,90,L5,¹s­¹
12-215,¸q¬ü,¥©§J¤OªkÄõ¶p,90g/²°,53,2265.25,90,L5,¹s­¹
12-216,Kid-O¤é²M,¥¤ªoÂfÂc¤T©úªv,120g/³U,39,550,120,L5,¹s­¹
12-217,Kid-O¤é²M,¥©§J¤O¤T©úªv,120g/³U,39,550,120,L5,¹s­¹
12-218,RITZ,ÄR´ş­»¯ó§¨¤ß»æ°®,261g/²°,90,1200,261,L5,¹s­¹
12-219,RITZ,ÄR´ş°_¤h§¨¤ß»æ°®,261g/²°,89,1200,261,L5,¹s­¹
12-220,RITZ,ÄR´şÂfÂc¤T©úªv»æ°®¶q³c¥],261g/²°,85,1200,261,L5,¹s­¹
12-221,Yu-ki,¥©§J¤O§¨¤ß»æ,150g/²°,47,1551,150,L5,¹s­¹
12-222,Yu-ki,ªá¥Í§¨¤ß»æ,150g,47,1551,150,L5,¹s­¹
12-223,Yu-ki,°_¥q§¨¤ß»æ,150g/²°,47,1551,150,L5,¹s­¹
12-224,Yu-ki,ÂfÂc§¨¤ß»æ,150g/²°,49,1551,150,L5,¹s­¹
12-225,§»¨È,77¤û¥¤¥©µá´µ,400g/¥],69,2400,400,L5,¹s­¹
12-226,©_¤ñ¼Ö,ªá¥Í§¨¤ß»æ°®,135g/¥],35,700,135,L5,¹s­¹
12-227,©_¤ñ¼Ö,­»¯ó§¨¤ß»æ°®,135g/¥],39,700,135,L5,¹s­¹
12-228,©_¤ñ¼Ö,°_¥q§¨¤ß»æ°®,135g/¥],39,700,135,L5,¹s­¹
12-229,²±­»¬Ã,¥©§J¶p-ºî¦X¤f¨ı,180g/²°,55,2772,180,L5,¹s­¹
12-230,¶ø§Q¶ø,¤T©úªv­ì¨ıÀH¤â¥] 9¤J,264.6g/²°,79,952,264.6,L5,¹s­¹
12-231,¶ø§Q¶ø,¥©§J¤O§¨¤ß¤T©úªv»æ°®,411g/²°,93,1470,411,L5,¹s­¹
12-232,¶ø§Q¶ø,¥©§J¤O§¨¤ßÀH¤â¥]9¤J,264.6g/²°,79,952,264.6,L5,¹s­¹
12-233,¶ø§Q¶ø,¦B²N²O­»¾í¤T©úªv»æ°®,411g/²°,93,1470,411,L5,¹s­¹
12-234,¶ø§Q¶ø,¦B²N²OÂÅ²ù¤T©úªv»æ°®,411g/²°,99,1470,411,L5,¹s­¹
12-235,¶ø§Q¶ø,ª÷©_¤T©úªv»æ°® ÀH¤â¥] 9¤J,264.6g/²°,79,1050,264.6,L5,¹s­¹
12-236,¶ø§Q¶ø,«Â¤Æ§¨¤ß¶p¶q³c¥]-¥©§J¤O,260g/²°,79,1656,260,L5,¹s­¹
12-237,¶ø§Q¶ø,«Â¤Æ§¨¤ß¶p¶q³c¥]-­»¯ó,260g/²°,79,1656,260,L5,¹s­¹
12-238,¶ø§Q¶ø,¬ü¨ıÂù¤ß¥©§J¤O¤T©úªv»æ°®,411g/²°,93,1317.5,411,L5,¹s­¹
12-239,¶ø§Q¶ø,­»¯ó¤T©úªv»æ°®,411g/²°,89,1317.5,411,L5,¹s­¹
12-240,¶ø§Q¶ø,¯ó²ù§¨¤ß¤T©úªv»æ°®,411g/²°,93,1317.5,411,L5,¹s­¹
12-241,¶ø§Q¶ø,²M²¢§¨¤ß ÀH¤â¥] 9¤J,264.6g/²°,79,1050,264.6,L5,¹s­¹
12-242,¶ø§Q¶ø,¶ø§Q¶ø¤T©úªv¯ó²ùÀH¤â¥] 9¤J,264.6g/²°,79,1050,264.6,L5,¹s­¹
12-243,¶ø§Q¶ø,»´²¢§¨¤ß¤T©úªv»æ°®,411g/²°,99,1470,411,L5,¹s­¹
12-244,¸q¬ü,¥©§J¤O§¨¤ß¶p,400g/¥],85,2760,400,L5,¹s­¹
12-245,¸q¬ü,ªá¥Í§¨¤ß¶p,400g/¥],85,2760,400,L5,¹s­¹
12-246,¸q¬ü,¬ü¨ıÁ¡»æ§¨¤ß-°_¥q,144¤½§J/²°,52,1518,144,L5,¹s­¹
12-247,¸q¬ü,¬ü¨ıÁ¡»æ§¨¤ß-ÂfÂc­·¨ı,144¤½§J/²°,52,1518,144,L5,¹s­¹
12-248,¸q¬ü,­»¨¡§¨¤ß¶p,400g/¥],85,2760,400,L5,¹s­¹
12-249,¸q¬ü,­»¯ó¤û¥¤§¨¤ß¶p,400g/¥],85,2760,400,L5,¹s­¹
12-250,¸q¬ü,¯ó²ù§¨¤ß¶p,400g/¥],85,2760,400,L5,¹s­¹
12-251,¸q¬ü,·s®ö¬£¤û¥¤¥©§J¤O,256g/²°,69,2600,256,L5,¹s­¹
12-252,¸q¬ü,·s®ö¬£¶Â¥©§J¤O,256g/²°,69,2600,256,L5,¹s­¹
12-253,¸q¬ü,ÂfÂc§¨¤ß¶p,400g/¥],85,2760,400,L5,¹s­¹
12-254,ÀuÀs,ACE§¨¤ß»æ°®-°_¥q,125¤½§J/²°,50,1382.975,125,L5,¹s­¹
